Day,Date,Month,Outlook,Temperature,Humidity,Wind,PlayTennis
D1,01-Jan,January,Rain,Cool,High,Strong,No
D2,02-Jan,January,Overcast,Mild,Normal,Strong,Yes
D3,03-Jan,January,Rain,Cool,High,Strong,No
D4,04-Jan,January,Sunny,Cool,High,Strong,No
D5,05-Jan,January,Rain,Cool,Normal,Strong,No
D6,06-Jan,January,Overcast,Mild,High,Strong,Yes
D7,07-Jan,January,Overcast,Cool,High,Strong,Yes
D8,08-Jan,January,Overcast,Hot,Normal,Weak,Yes
D9,09-Jan,January,Rain,Mild,High,Weak,Yes
D10,10-Jan,January,Overcast,Hot,Normal,Weak,Yes
D11,11-Jan,January,Overcast,Cool,High,Strong,Yes
D12,12-Jan,January,Sunny,Cool,High,Strong,No
D13,13-Jan,January,Rain,Cool,High,Strong,No
D14,14-Jan,January,Rain,Mild,High,Weak,Yes
D15,15-Jan,January,Rain,Mild,High,Strong,No
D16,16-Jan,January,Overcast,Hot,High,Weak,Yes
D17,17-Jan,January,Overcast,Mild,High,Strong,Yes
D18,18-Jan,January,Rain,Cool,High,Weak,Yes
D19,19-Jan,January,Overcast,Cool,High,Strong,Yes
D20,20-Jan,January,Overcast,Cool,High,Strong,Yes
D21,21-Jan,January,Rain,Cool,High,Weak,Yes
D22,22-Jan,January,Rain,Cool,Normal,Strong,No
D23,23-Jan,January,Sunny,Cool,High,Weak,No
D24,24-Jan,January,Overcast,Cool,High,Strong,Yes
D25,25-Jan,January,Overcast,Cool,Normal,Weak,Yes
D26,26-Jan,January,Sunny,Mild,High,Strong,No
D27,27-Jan,January,Rain,Hot,High,Strong,No
D28,28-Jan,January,Rain,Mild,Normal,Strong,No
D29,29-Jan,January,Rain,Cool,Normal,Weak,Yes
D30,30-Jan,January,Rain,Hot,High,Strong,No
D31,31-Jan,January,Overcast,Cool,Normal,Strong,Yes
D32,01-Feb,February,Sunny,Cool,High,Weak,No
D33,02-Feb,February,Overcast,Mild,High,Strong,Yes
D34,03-Feb,February,Overcast,Mild,High,Strong,Yes
D35,04-Feb,February,Sunny,Mild,Normal,Strong,Yes
D36,05-Feb,February,Rain,Cool,High,Weak,Yes
D37,06-Feb,February,Rain,Cool,High,Weak,Yes
D38,07-Feb,February,Rain,Cool,Normal,Weak,Yes
D39,08-Feb,February,Rain,Cool,High,Strong,No
D40,09-Feb,February,Rain,Hot,High,Strong,No
D41,10-Feb,February,Sunny,Mild,High,Weak,No
D42,11-Feb,February,Overcast,Cool,High,Weak,Yes
D43,12-Feb,February,Rain,Cool,Normal,Weak,Yes
D44,13-Feb,February,Rain,Mild,Normal,Strong,No
D45,14-Feb,February,Sunny,Cool,High,Strong,No
D46,15-Feb,February,Overcast,Mild,Normal,Strong,Yes
D47,16-Feb,February,Rain,Cool,Normal,Strong,No
D48,17-Feb,February,Rain,Cool,High,Strong,No
D49,18-Feb,February,Rain,Mild,High,Weak,Yes
D50,19-Feb,February,Rain,Cool,Normal,Weak,Yes
D51,20-Feb,February,Overcast,Mild,Normal,Strong,Yes
D52,21-Feb,February,Rain,Cool,High,Strong,No
D53,22-Feb,February,Rain,Mild,High,Weak,Yes
D54,23-Feb,February,Rain,Cool,Normal,Weak,Yes
D55,24-Feb,February,Rain,Mild,High,Strong,No
D56,25-Feb,February,Overcast,Hot,High,Weak,Yes
D57,26-Feb,February,Sunny,Hot,High,Weak,No
D58,27-Feb,February,Rain,Mild,High,Strong,No
D59,28-Feb,February,Rain,Mild,High,Strong,No
D60,01-Mar,March,Overcast,Cool,High,Weak,Yes
D61,02-Mar,March,Rain,Mild,High,Weak,Yes
D62,03-Mar,March,Rain,Mild,High,Strong,No
D63,04-Mar,March,Overcast,Cool,High,Weak,Yes
D64,05-Mar,March,Sunny,Hot,Normal,Weak,Yes
D65,06-Mar,March,Sunny,Cool,High,Weak,No
D66,07-Mar,March,Overcast,Mild,High,Strong,Yes
D67,08-Mar,March,Overcast,Mild,Normal,Weak,Yes
D68,09-Mar,March,Overcast,Cool,Normal,Strong,Yes
D69,10-Mar,March,Overcast,Mild,High,Strong,Yes
D70,11-Mar,March,Sunny,Mild,High,Weak,No
D71,12-Mar,March,Overcast,Cool,Normal,Strong,Yes
D72,13-Mar,March,Rain,Mild,Normal,Strong,No
D73,14-Mar,March,Rain,Cool,High,Weak,Yes
D74,15-Mar,March,Overcast,Cool,Normal,Weak,Yes
D75,16-Mar,March,Rain,Cool,High,Weak,Yes
D76,17-Mar,March,Overcast,Mild,Normal,Weak,Yes
D77,18-Mar,March,Sunny,Cool,High,Weak,No
D78,19-Mar,March,Overcast,Mild,Normal,Strong,Yes
D79,20-Mar,March,Rain,Cool,Normal,Weak,Yes
D80,21-Mar,March,Rain,Mild,High,Weak,Yes
D81,22-Mar,March,Overcast,Mild,Normal,Weak,Yes
D82,23-Mar,March,Sunny,Mild,High,Weak,No
D83,24-Mar,March,Overcast,Mild,Normal,Strong,Yes
D84,25-Mar,March,Overcast,Cool,Normal,Weak,Yes
D85,26-Mar,March,Rain,Mild,High,Strong,No
D86,27-Mar,March,Overcast,Cool,High,Strong,Yes
D87,28-Mar,March,Rain,Mild,Normal,Strong,No
D88,29-Mar,March,Overcast,Cool,Normal,Weak,Yes
D89,30-Mar,March,Overcast,Cool,Normal,Strong,Yes
D90,31-Mar,March,Overcast,Cool,High,Strong,Yes
D91,01-Apr,April,Overcast,Hot,Normal,Weak,Yes
D92,02-Apr,April,Rain,Mild,High,Weak,Yes
D93,03-Apr,April,Sunny,Mild,Normal,Weak,Yes
D94,04-Apr,April,Overcast,Mild,High,Strong,Yes
D95,05-Apr,April,Overcast,Hot,High,Weak,Yes
D96,06-Apr,April,Overcast,Hot,High,Weak,Yes
D97,07-Apr,April,Rain,Hot,High,Weak,Yes
D98,08-Apr,April,Overcast,Mild,Normal,Weak,Yes
D99,09-Apr,April,Rain,Mild,High,Strong,No
D100,10-Apr,April,Rain,Mild,Normal,Weak,Yes
D101,11-Apr,April,Rain,Cool,High,Weak,Yes
D102,12-Apr,April,Overcast,Cool,High,Weak,Yes
D103,13-Apr,April,Overcast,Hot,Normal,Weak,Yes
D104,14-Apr,April,Overcast,Cool,High,Strong,Yes
D105,15-Apr,April,Sunny,Mild,Normal,Strong,Yes
D106,16-Apr,April,Rain,Mild,High,Weak,Yes
D107,17-Apr,April,Rain,Cool,Normal,Strong,No
D108,18-Apr,April,Overcast,Mild,High,Weak,Yes
D109,19-Apr,April,Sunny,Mild,Normal,Strong,Yes
D110,20-Apr,April,Sunny,Mild,High,Weak,No
D111,21-Apr,April,Overcast,Mild,Normal,Weak,Yes
D112,22-Apr,April,Overcast,Mild,Normal,Weak,Yes
D113,23-Apr,April,Overcast,Mild,Normal,Weak,Yes
D114,24-Apr,April,Rain,Hot,High,Weak,Yes
D115,25-Apr,April,Overcast,Mild,Normal,Strong,Yes
D116,26-Apr,April,Sunny,Hot,High,Strong,No
D117,27-Apr,April,Rain,Cool,High,Weak,Yes
D118,28-Apr,April,Overcast,Cool,High,Weak,Yes
D119,29-Apr,April,Rain,Cool,High,Weak,Yes
D120,30-Apr,April,Rain,Mild,Normal,Weak,Yes
D121,01-May,May,Sunny,Cool,High,Weak,No
D122,02-May,May,Overcast,Mild,High,Weak,Yes
D123,03-May,May,Rain,Mild,High,Strong,No
D124,04-May,May,Rain,Cool,High,Weak,Yes
