sample_index,cluster
0,1
1,4
2,4
3,4
4,1
5,1
6,4
7,1
8,4
9,4
10,1
11,4
12,4
13,4
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,4
24,4
25,4
26,1
27,1
28,1
29,4
30,4
31,1
32,1
33,1
34,4
35,4
36,1
37,1
38,4
39,1
40,1
41,4
42,4
43,1
44,1
45,4
46,1
47,4
48,1
49,4
50,2
51,0
52,2
53,3
54,0
55,0
56,0
57,3
58,0
59,3
60,3
61,0
62,3
63,0
64,0
65,0
66,0
67,3
68,3
69,3
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,2
78,0
79,3
80,3
81,3
82,3
83,0
84,0
85,0
86,0
87,3
88,0
89,3
90,3
91,0
92,3
93,3
94,3
95,0
96,0
97,0
98,3
99,0
100,2
101,0
102,2
103,0
104,2
105,2
106,3
107,2
108,0
109,2
110,2
111,0
112,2
113,0
114,0
115,2
116,2
117,2
118,2
119,3
120,2
121,0
122,2
123,0
124,2
125,2
126,0
127,0
128,0
129,2
130,2
131,2
132,2
133,0
134,0
135,2
136,2
137,2
138,0
139,2
140,2
141,2
142,0
143,2
144,2
145,2
146,0
147,2
148,2
149,0
