Datetime,Energy_Consumption_kWh,Temperature_C,Humidity_Pct,Hour_of_Day,Day_of_Week,Is_Weekend
2024-01-01 00:00:00,4.041,9.55,61.7,0,0,0
2024-01-01 01:00:00,1.714,8.09,61.9,1,0,0
2024-01-01 02:00:00,1.745,7.4,59.0,2,0,0
2024-01-01 03:00:00,1.83,6.76,57.8,3,0,0
2024-01-01 04:00:00,2.022,4.62,56.8,4,0,0
2024-01-01 05:00:00,2.12,3.7,47.5,5,0,0
2024-01-01 06:00:00,2.39,4.07,47.6,6,0,0
2024-01-01 07:00:00,3.169,3.14,46.7,7,0,0
2024-01-01 08:00:00,3.571,2.25,51.3,8,0,0
2024-01-01 09:00:00,3.066,3.01,55.8,9,0,0
2024-01-01 10:00:00,2.543,2.86,60.5,10,0,0
2024-01-01 11:00:00,2.218,3.58,60.9,11,0,0
2024-01-01 12:00:00,2.16,4.94,64.0,12,0,0
2024-01-01 13:00:00,2.255,4.74,69.3,13,0,0
2024-01-01 14:00:00,2.015,6.02,70.0,14,0,0
2024-01-01 15:00:00,1.83,7.88,81.9,15,0,0
2024-01-01 16:00:00,1.804,8.7,73.2,16,0,0
2024-01-01 17:00:00,2.036,10.43,80.0,17,0,0
2024-01-01 18:00:00,2.733,10.42,86.1,18,0,0
2024-01-01 19:00:00,3.392,10.57,79.5,19,0,0
2024-01-01 20:00:00,3.448,12.45,77.4,20,0,0
2024-01-01 21:00:00,3.509,11.29,74.5,21,0,0
2024-01-01 22:00:00,2.568,11.02,72.0,22,0,0
2024-01-01 23:00:00,2.072,9.41,73.0,23,0,0
2024-01-02 00:00:00,1.704,9.01,58.4,0,1,0
2024-01-02 01:00:00,1.711,8.32,65.7,1,1,0
2024-01-02 02:00:00,1.725,6.41,53.2,2,1,0
2024-01-02 03:00:00,1.877,6.16,53.6,3,1,0
2024-01-02 04:00:00,2.093,4.49,50.7,4,1,0
2024-01-02 05:00:00,2.125,3.75,52.3,5,1,0
2024-01-02 06:00:00,2.746,2.85,45.2,6,1,0
2024-01-02 07:00:00,2.924,3.88,51.9,7,1,0
