epoch,box_loss,cls_loss,dfl_loss,mAP50,mAP50-95
1,1.26,0.87,0.78,0.5680000000000001,0.364
2,1.22,0.8400000000000001,0.76,0.5860000000000001,0.378
3,1.1800000000000002,0.81,0.74,0.6040000000000001,0.39199999999999996
4,1.1400000000000001,0.78,0.7200000000000001,0.622,0.40599999999999997
5,1.1,0.75,0.7000000000000001,0.64,0.42
6,1.06,0.72,0.68,0.658,0.434
7,1.02,0.6900000000000001,0.66,0.676,0.44799999999999995
8,0.98,0.66,0.64,0.6940000000000001,0.46199999999999997
9,0.9400000000000001,0.63,0.6200000000000001,0.712,0.476
10,0.9,0.6000000000000001,0.6000000000000001,0.73,0.49
11,0.8600000000000001,0.5700000000000001,0.5800000000000001,0.748,0.504
12,0.8200000000000001,0.54,0.56,0.766,0.518
13,0.78,0.51,0.54,0.784,0.532
14,0.74,0.48000000000000004,0.52,0.802,0.546
15,0.7000000000000001,0.45000000000000007,0.5,0.8200000000000001,0.5599999999999999
