epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,82.8859,0.78031,1.89803,0.99517,0.28076,1,0.59454,0.46107,0.6877,2.94316,0.9116,0.00125923,0.00125923,0.00125923
1,34.442,0.78926,4.18426,0.99978,0,0,0,0,0.28351,4.47052,0.81468,0.000317556,0.000317556,0.000317556
5,116.901,0.73435,1.46116,0.9393,0.2723,0.93333,0.45263,0.32456,0.64144,3.4221,0.88346,0.00120265,0.00120265,0.00120265
2,65.7911,0.63484,3.38825,0.94043,0,0,0,0,0.55791,4.47644,0.86605,0.000636699,0.000636699,0.000636699
6,147.941,0.8141,1.45077,0.96721,0.2723,0.93333,0.45263,0.32456,0.64144,3.4221,0.88346,0.00114606,0.00114606,0.00114606
7,180.301,0.70848,1.52459,0.95353,0.25128,0.75556,0.28708,0.2056,0.67426,3.58667,0.94664,0.00108947,0.00108947,0.00108947
3,98.755,0.54638,2.18697,0.87318,0,0,0,0,0.52968,4.34087,0.8597,0.000767214,0.000767214,0.000767214
8,216.904,0.65865,1.29095,0.92971,0.24472,0.86667,0.47039,0.38605,0.63182,3.0217,0.9333,0.00103288,0.00103288,0.00103288
4,135.299,0.58558,1.67787,0.92793,0.35455,0.48148,0.34127,0.29173,0.44135,4.03455,0.8321,0.000580174,0.000580174,0.000580174
9,246.965,0.59392,1.12876,0.91022,0.21681,0.93333,0.6398,0.51403,0.65952,2.47752,1.08269,0.000976293,0.000976293,0.000976293
5,166.13,0.57815,1.46822,0.88932,0.29167,0.59259,0.47077,0.41443,0.44589,3.78911,0.81867,0.000297232,0.000297232,0.000297232
10,269.312,0.56386,0.90258,0.88423,0.21681,0.93333,0.6398,0.51403,0.65952,2.47752,1.08269,0.000919704,0.000919704,0.000919704
11,289.51,0.48736,0.96773,0.85837,0.65289,0.61496,0.73556,0.60943,0.57085,2.20408,0.99919,0.000863116,0.000863116,0.000863116
12,308.674,0.50791,0.83413,0.90194,0.28739,1,0.83768,0.79252,0.3996,2.34622,0.81667,0.000806528,0.000806528,0.000806528
13,327.55,0.47746,0.87609,0.85546,0.38422,1,0.87467,0.81361,0.39754,2.47918,0.81751,0.000749939,0.000749939,0.000749939
14,346.095,0.51045,0.95759,0.87657,0.38422,1,0.87467,0.81361,0.39754,2.47918,0.81751,0.000693351,0.000693351,0.000693351
15,365.061,0.47847,0.82559,0.8377,0.38201,0.93333,0.75053,0.68899,0.44311,2.29121,0.83356,0.000636762,0.000636762,0.000636762
16,383.699,0.38641,0.72408,0.84812,0.45644,0.93333,0.81722,0.75488,0.41512,2.09964,0.83553,0.000580174,0.000580174,0.000580174
17,401.746,0.35119,0.6645,0.79581,0.57576,1,0.93197,0.80833,0.42508,2.36789,0.83561,0.000523586,0.000523586,0.000523586
18,419.786,0.33371,0.55448,0.8111,0.57576,1,0.93197,0.80833,0.42508,2.36789,0.83561,0.000466997,0.000466997,0.000466997
19,438.044,0.33747,0.59355,0.84788,0.5314,0.8963,0.89167,0.81292,0.40634,2.51865,0.82662,0.000410409,0.000410409,0.000410409
20,456.854,0.33995,0.59009,0.81596,0.5314,1,0.95611,0.88877,0.39126,2.40463,0.80976,0.00035382,0.00035382,0.00035382
21,475.42,0.30346,0.59682,0.83585,0.49807,1,0.96167,0.90484,0.35792,2.05391,0.80074,0.000297232,0.000297232,0.000297232
22,494.162,0.29565,0.62791,0.83557,0.49807,1,0.96167,0.90484,0.35792,2.05391,0.80074,0.000240644,0.000240644,0.000240644
23,512.739,0.30264,0.52961,0.82921,0.92591,0.7302,0.97,0.91689,0.33525,1.74141,0.79467,0.000184055,0.000184055,0.000184055
24,531.193,0.31184,0.55844,0.84555,0.95335,0.83388,0.995,0.95678,0.30455,1.46191,0.78706,0.000127467,0.000127467,0.000127467
25,549.6,0.28882,0.55669,0.80596,0.95307,0.94505,0.995,0.96078,0.28586,1.26481,0.78272,7.08784e-05,7.08784e-05,7.08784e-05
